id,age,job,marital,education,balance,housing,loan,contact
1,58,management,married,tertiary,2143,yes,no,unknown
2,44,technician,single,secondary,29,yes,no,unknown
3,33,entrepreneur,married,secondary,2,yes,yes,unknown
4,47,blue-collar,married,unknown,1506,yes,no,unknown
5,33,unknown,single,unknown,1,no,no,unknown
6,35,management,married,tertiary,231,yes,no,unknown
7,28,management,single,tertiary,447,yes,yes,unknown
8,42,entrepreneur,divorced,tertiary,2,yes,no,unknown
9,58,retired,married,primary,121,yes,no,unknown
10,43,technician,single,secondary,593,yes,no,unknown
11,41,admin.,divorced,secondary,270,yes,no,unknown
12,29,admin.,single,secondary,390,yes,no,unknown
13,53,technician,married,secondary,6,yes,no,unknown
14,58,technician,married,unknown,71,yes,no,unknown
15,57,services,married,secondary,162,yes,no,unknown
16,51,retired,married,primary,229,yes,no,unknown
17,45,admin.,single,unknown,13,yes,no,unknown
18,57,blue-collar,married,primary,52,yes,no,unknown
19,60,retired,married,primary,60,yes,no,unknown
20,33,services,married,secondary,0,yes,no,unknown
21,28,blue-collar,married,secondary,723,yes,yes,unknown
22,56,management,married,tertiary,779,yes,no,unknown
23,32,blue-collar,single,primary,23,yes,yes,unknown
24,25,services,married,secondary,50,yes,no,unknown
25,40,retired,married,primary,0,yes,yes,unknown
26,44,admin.,married,secondary,-372,yes,no,unknown
27,39,management,single,tertiary,255,yes,no,unknown
28,52,entrepreneur,married,secondary,113,yes,yes,unknown
29,46,management,single,secondary,-246,yes,no,unknown
30,36,technician,single,secondary,265,yes,yes,unknown
31,57,technician,married,secondary,839,no,yes,unknown
32,49,management,married,tertiary,378,yes,no,unknown
33,60,admin.,married,secondary,39,yes,yes,unknown
34,59,blue-collar,married,secondary,0,yes,no,unknown
35,51,management,married,tertiary,10635,yes,no,unknown
36,57,technician,divorced,secondary,63,yes,no,unknown
37,25,blue-collar,married,secondary,-7,yes,no,unknown
38,53,technician,married,secondary,-3,no,no,unknown
39,36,admin.,divorced,secondary,506,yes,no,unknown
40,37,admin.,single,secondary,0,yes,no,unknown
41,44,services,divorced,secondary,2586,yes,no,unknown
42,50,management,married,secondary,49,yes,no,unknown
43,60,blue-collar,married,unknown,104,yes,no,unknown
44,54,retired,married,secondary,529,yes,no,unknown
45,58,retired,married,unknown,96,yes,no,unknown
46,36,admin.,single,primary,-171,yes,no,unknown
47,58,self-employed,married,tertiary,-364,yes,no,unknown
48,44,technician,married,secondary,0,yes,no,unknown
49,55,technician,divorced,secondary,0,no,no,unknown
50,29,management,single,tertiary,0,yes,no,unknown
51,54,blue-collar,married,secondary,1291,yes,no,unknown
52,48,management,divorced,tertiary,-244,yes,no,unknown
53,32,management,married,tertiary,0,yes,no,unknown
54,42,admin.,single,secondary,-76,yes,no,unknown
55,24,technician,single,secondary,-103,yes,yes,unknown
56,38,entrepreneur,single,tertiary,243,no,yes,unknown
57,38,management,single,tertiary,424,yes,no,unknown
58,47,blue-collar,married,unknown,306,yes,no,unknown
59,40,blue-collar,single,unknown,24,yes,no,unknown
60,46,services,married,primary,179,yes,no,unknown
61,32,admin.,married,tertiary,0,yes,no,unknown
62,53,technician,divorced,secondary,989,yes,no,unknown
63,57,blue-collar,married,primary,249,yes,no,unknown
64,33,services,married,secondary,790,yes,no,unknown
65,49,blue-collar,married,unknown,154,yes,no,unknown
66,51,management,married,tertiary,6530,yes,no,unknown
67,60,retired,married,tertiary,100,no,no,unknown
68,59,management,divorced,tertiary,59,yes,no,unknown
69,55,technician,married,secondary,1205,yes,no,unknown
70,35,blue-collar,single,secondary,12223,yes,yes,unknown
71,57,blue-collar,married,secondary,5935,yes,yes,unknown
72,31,services,married,secondary,25,yes,yes,unknown
73,54,management,married,secondary,282,yes,yes,unknown
74,55,blue-collar,married,primary,23,yes,no,unknown
75,43,technician,married,secondary,1937,yes,no,unknown
76,53,technician,married,secondary,384,yes,no,unknown
77,44,blue-collar,married,secondary,582,no,yes,unknown
78,55,services,divorced,secondary,91,no,no,unknown
79,49,services,divorced,secondary,0,yes,yes,unknown
80,55,services,divorced,secondary,1,yes,no,unknown
81,45,admin.,single,secondary,206,yes,no,unknown
82,47,services,divorced,secondary,164,no,no,unknown
83,42,technician,single,secondary,690,yes,no,unknown
84,59,admin.,married,secondary,2343,yes,no,unknown
85,46,self-employed,married,tertiary,137,yes,yes,unknown
86,51,blue-collar,married,primary,173,yes,no,unknown
87,56,admin.,married,secondary,45,no,no,unknown
88,41,technician,married,secondary,1270,yes,no,unknown
89,46,management,divorced,secondary,16,yes,yes,unknown
90,57,retired,married,secondary,486,yes,no,unknown
91,42,management,single,secondary,50,no,no,unknown
92,30,technician,married,secondary,152,yes,yes,unknown
93,60,admin.,married,secondary,290,yes,no,unknown
94,60,blue-collar,married,unknown,54,yes,no,unknown
95,57,entrepreneur,divorced,secondary,-37,no,no,unknown
96,36,management,married,tertiary,101,yes,yes,unknown
97,55,blue-collar,married,secondary,383,no,no,unknown
98,60,retired,married,tertiary,81,yes,no,unknown
99,39,technician,married,secondary,0,yes,no,unknown
100,46,management,married,tertiary,229,yes,no,unknown
101,44,blue-collar,married,secondary,-674,yes,no,unknown
102,53,blue-collar,married,primary,90,no,no,unknown
103,52,blue-collar,married,primary,128,yes,no,unknown
104,59,blue-collar,married,primary,179,yes,no,unknown
105,27,technician,single,tertiary,0,yes,no,unknown
106,44,blue-collar,married,secondary,54,yes,no,unknown
107,47,technician,married,tertiary,151,yes,no,unknown
108,34,admin.,married,secondary,61,no,yes,unknown
109,59,retired,single,secondary,30,yes,no,unknown
110,45,management,married,tertiary,523,yes,no,unknown
111,29,services,divorced,secondary,31,yes,no,unknown
112,46,technician,divorced,secondary,79,no,no,unknown
113,56,self-employed,married,primary,-34,yes,yes,unknown
