[0620/124713:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0620/125109:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0620/125122:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0620/125254:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0620/125633:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0620/143413:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0620/143546:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0620/143603:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0620/153055:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0620/170040:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0620/170301:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0621/100840:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0629/095801:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0629/101134:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0629/101441:ERROR:file_io.cc(30)] read: expected 4, observed 0
